
Columns added by NG_DB_final_2017_07_01.xlsx


Rows added by NG_DB_final_2017_07_01.xlsx

1277	CHL124
1278	CHL125
1279	CHL126
1280	CHL127
1179	CHL120
1180	CHL121
1181	CHL122
1276	CHL123
1281	CHL128
1282	CHL129
1792	CHN441
1803	CHN440
1800	CHN443
1801	CHN442
1787	CHN445
1788	CHN447
1786	CHN446
1790	CHN449
1791	CHN448
5869	TUR342
5870	TUR343
5862	TUR340
5868	TUR341
5913	TUR346
5915	TUR347
5858	TUR344
5846	TUR345
6066	TUR348
5921	TUR349
1107	BOL058
1108	BOL059
1086	BOL050
1101	BOL051
1090	BOL052
1082	BOL053
1095	BOL054
1093	BOL055
1110	BOL056
1085	BOL057
6032	TUR289
6031	TUR288
6030	TUR287
6029	TUR286
6028	TUR285
6027	TUR284
6026	TUR283
6025	TUR282
6024	TUR281
6023	TUR280
1690	CHN388
1693	CHN389
1687	CHN382
1685	CHN383
1708	CHN380
1688	CHN381
1692	CHN386
1691	CHN387
1689	CHN384
1686	CHN385
2016	CHN309
1806	CHN469
1805	CHN468
1585	CHN463
1586	CHN462
2042	CHN461
2044	CHN460
2595	JAP467
2564	JAP466
713	USA568
714	USA569
711	USA566
712	USA567
709	USA564
710	USA565
707	USA562
708	USA563
705	USA560
706	USA561
2637	JAP528
2638	JAP529
1627	CHN521
2636	JAP526
2528	JAP527
1628	CHN524
2635	JAP525
1057	BOL032
1063	BOL033
1065	BOL031
1055	BOL036
1059	BOL037
1069	BOL034
1067	BOL035
1058	BOL038
1060	BOL039
1162	CHL065
1169	CHL064
1155	CHL067
1182	CHL066
1156	CHL061
1190	CHL060
1154	CHL063
1184	CHL062
1168	CHL069
1722	CHN349
1731	CHN346
1732	CHN347
1725	CHN344
1726	CHN345
1728	CHN342
1730	CHN343
1946	CHN340
2745	JAP588
2757	JAP589
2756	JAP584
1952	CHN585
2754	JAP586
1779	CHN587
2747	JAP580
2750	JAP583
6069	TUR150
1809	CHN575
1808	CHN574
1810	CHN577
2787	JAP576
2041	CHN571
2040	CHN570
2038	CHN573
2037	CHN572
2746	JAP579
1812	CHN578
1212	CHL049
1211	CHL048
1213	CHL047
1242	CHL046
1256	CHL045
1268	CHL044
1205	CHL043
1259	CHL042
1220	CHL041
1274	CHL040
2772	JAP562
5972	TUR229
5971	TUR228
5968	TUR225
5967	TUR224
5970	TUR227
5969	TUR226
5964	TUR221
5963	TUR220
5966	TUR223
